LTV,ProfitTake,LiquidationRate,AvgFinalBTC
0.8,20000,0.14,0.364574334292072
0.8,25000,0.06,0.3554800347371398
0.8,30000,0.06,0.3574892892372115
0.8,35000,0.02,0.3578710880777895
0.8,40000,0.08,0.35738063979369317
0.8500000000000001,20000,0.08,0.34898027622404476
0.8500000000000001,25000,0.1,0.35776546861489544
0.8500000000000001,30000,0.14,0.36657139927661625
0.8500000000000001,35000,0.06,0.3480304682320298
0.8500000000000001,40000,0.02,0.34457131210209224
0.9000000000000001,20000,0.06,0.3585237437698491
0.9000000000000001,25000,0.06,0.36329988633571947
0.9000000000000001,30000,0.06,0.3389516399320495
0.9000000000000001,35000,0.04,0.36373744650177486
0.9000000000000001,40000,0.02,0.35943367812610577
