PeakDate,TroughDate,PeakPrice,TroughPrice,Amplitude (%),Duration (Days),Velocity (%/Day),Year
2024-01-08,2024-01-09,46989.4,46128.7,-1.8316897002302768,1,-1.8316897002302768,2024
2025-01-21,2025-01-22,106162.8,103648.5,-2.3683437136172047,1,-2.3683437136172047,2025
