FinalBTC,Liquidated,GoalReached
0.2766247654230442,False,False
0.286465559021888,False,False
0.3918571534590886,False,False
0.3721800377191976,False,False
0.45967455206505503,False,False
0.34399223763208,False,False
0.49213027776202267,False,False
0.3800646669704107,False,False
0.36117739660059844,False,False
0.3095079589259642,False,False
0.2838302844247462,False,False
0.2658834137108417,False,False
0.40165076593946647,False,False
0.26489780825523934,False,False
0.2790720965913818,False,False
0.36534373151307603,False,False
0.2908249829653223,False,False
0.27152843541344734,False,False
0.3863566669010259,False,False
0.3898907716118421,False,False
0.33130938011142985,False,False
0.3699948515701568,False,False
0.3114424007940702,False,False
0.4413768757455106,False,False
0.39318390183141033,False,False
0.45392504930839145,False,False
0.2925886967939719,False,False
0.3430615601427606,False,False
0.3587020614010264,False,False
0.3207531041576335,False,False
0.27331900854308544,False,False
0.4765122576167703,False,False
0.3997143146949814,False,False
0.3984661389480895,False,False
0.2533925174381737,False,False
0.3329060282231429,False,False
0.0,True,False
0.2596043411874008,False,False
0.27637314401575164,False,False
0.32712245684168023,False,False
0.36473349811909295,False,False
0.26141054260623797,False,False
0.37776770925783126,False,False
0.4298745701349681,False,False
0.3093269684028782,False,False
0.3129227559339337,False,False
0.33267683401971954,False,False
0.3625462323173565,False,False
0.31930785489354835,False,False
0.3267256750457753,False,False
