cycle,entry_price,exit_price,loan,interest_paid,total_payoff,needed_cure_btc,btc_free,btc_bought,btc_sold,net_btc_gain
1,118000.0,148000.0,11421.31707806192,1313.451463977121,12734.76854203904,0.12000000000000001,0.2507450893032843,0.09679082269544,0.08604573339215568,0.010745089303284314
2,148000.0,178000.0,15443.606581505617,1776.014756873146,17219.62133837876,0.12000000000000001,0.3783543367003365,0.1043486931182812,0.096739445721229,0.007609247397052196
3,178000.0,208000.0,18839.52,2166.5448,21006.0648,0.12000000000000001,0.5032036405464904,0.10584,0.10099069615384615,0.004849303846153855
4,208000.0,238000.0,22014.72,2531.6928000000003,24546.412800000002,0.12000000000000001,0.6259074523111963,0.10584,0.10313618823529412,0.0027038117647058824
5,238000.0,268000.0,25189.92,2896.8408,28086.760799999996,0.12,0.7469461060425395,0.10583999999999999,0.1048013462686567,0.001038653731343292
6,268000.0,298000.0,28365.12,3261.9888,31627.108799999998,0.12,0.8666548684586469,0.10583999999999999,0.10613123758389262,-0.00029123758389262844
7,298000.0,328000.0,31540.319999999996,3627.1367999999998,35167.45679999999,0.11999999999999998,0.9852770123610859,0.10583999999999999,0.10721785609756096,-0.00137785609756097
8,328000.0,358000.0,34715.52,3992.2848,38707.8048,0.12,1.1029946525845495,0.10583999999999999,0.10812235977653631,-0.002282359776536319
