entry_price,exit_price,cycle_duration_days,loan_amount,origination_fee,total_loan_balance,payment_strategy,total_interest,final_loan_balance,interest_rate_effective,btc_purchased,btc_sold_during_cycle,btc_sold_at_exit,cure_btc_needed,net_btc_gain,margin_call_occurred,liquidation_occurred,worst_expected_drawdown,worst_ltv,exit_ltv,scenario_name,scenario_description,cycle,free_btc_before,collateral_btc,free_btc_after,total_btc
118000.0,113157.68844644353,180,10000.0,330.0,10330.0,monthly_payments,593.975,10923.975,5.93975,0.0847457627118644,0.00513913254620226,0.09653762947950474,0,-0.0169309993138426,False,False,0.04,0.7767887859707095,0.8044802456625396,sideways,Choppy sideways movement,1,0.12,0.12,0.1030690006861574,0.2230690006861574
113157.68844644353,94470.06825792749,180,10000.0,330.0,10330.0,liquidated,0.0,10536.6,0.0,0.08837225412865257,0.0,0.0,0,-0.04122760027446296,False,True,0.15000000000000002,2.1302784354636186,2.164253828615894,decline,Gradual decline,2,0.0515345003430787,0.0515345003430787,0.0,
