FinalBTC,Liquidated,GoalReached
0.3725763798613525,False,False
0.4311288839170331,False,False
0.2533925174381737,False,False
0.3141225459711593,False,False
0.2533925174381737,False,False
0.36053683593684566,False,False
0.40030728438090435,False,False
0.26938200653973055,False,False
0.42151875316859566,False,False
0.35689522836151116,False,False
0.365945774911249,False,False
0.36762146351075187,False,False
0.3253994295904108,False,False
0.40321560433866194,False,False
0.3229889325990117,False,False
0.4095423601226448,False,False
0.3706701721954329,False,False
0.38510822532499595,False,False
0.37104446522990575,False,False
0.3259835849391055,False,False
0.3207719279399847,False,False
0.30940071471612784,False,False
0.40373093826709017,False,False
0.3054218119266795,False,False
0.41305145720540404,False,False
0.3050997015655327,False,False
0.3209291669558344,False,False
0.39810114716225947,False,False
0.2730803102582001,False,False
0.3306927816630585,False,False
0.3885390718883662,False,False
0.35794060907217823,False,False
0.3621323672176921,False,False
0.5115992144017434,False,False
0.33679305813291244,False,False
0.0,True,False
0.34426887402530904,False,False
0.34733258490818775,False,False
0.3484744678172553,False,False
0.4864548238236058,False,False
0.3739244218536427,False,False
0.3084457290928257,False,False
0.3408500457826974,False,False
0.4047904685372855,False,False
0.35351640536331397,False,False
0.4200172025053225,False,False
0.33953346011768115,False,False
0.36019424657726523,False,False
0.331300151299698,False,False
0.4350901023263781,False,False
